phid,name,division,state,party,ceased_date,house
1K4,Bob Woods,,NSW,LIB,1997-03-07,senate
JI4,John Panizza,,WA,LIB,1997-01-31,senate
KG4,John Langmore,Fraser,ACT,ALP,1996-12-06,reps
LE4,Michael Baume,,NSW,LIB,1996-09-09,senate
LF4,John Coates,,Tas,ALP,1996-08-20,senate
0X4,Sid Spindler,,Vic,AD ,1996-06-30,senate
2F4,Bryant Burns,,Qld,ALP,1996-06-30,senate
7U4,Robert Bell,,Tas,AD ,1996-06-30,senate
LH4,Gerry Jones,,Qld,ALP,1996-06-30,senate
NE4,Michael Beahan,,WA,ALP,1996-06-30,senate
PJ4,Baden Teague,,SA,LIB,1996-06-30,senate
RC6,Tom Wheelwright,,NSW,ALP,1996-06-30,senate
SN5,Christabel Chamarette,,WA,GRN,1996-06-30,senate
XF4,Noel Crichton-browne,,WA,IND LIB,1996-06-30,senate
NH4,Paul Keating,Blaxland,NSW,ALP,1996-04-23,reps
0G4,Barry Cunningham,McMillan,Vic,ALP,1996-03-02,reps
0U4,Harry Woods,Page,NSW,ALP,1996-03-02,reps
5B6,Brendan Smyth,Canberra,ACT,LIB,1996-03-02,reps
6T4,Robert Elliott,Parramatta,NSW,ALP,1996-03-02,reps
7G4,Peter Duncan,Makin,SA,ALP,1996-03-02,reps
8J4,Leslie Scott,Oxley,Qld,ALP,1996-03-02,reps
9T4,Frank Walker,Robertson,NSW,ALP,1996-03-02,reps
9U4,Neville Newell,Richmond,NSW,ALP,1996-03-02,reps
BO5,Philip Cleary,Wills,Vic,IND,1996-03-02,reps
EV5,Peter Dodd,Leichhardt,Qld,ALP,1996-03-02,reps
